2026-04-13 09:16:30 | INFO     | __main__ | main | 📁 Output directory: D:\Graphbased_temporal_RAG\data\processed_texts
2026-04-13 09:16:30 | INFO     | __main__ | main | 📊 Report: D:\Graphbased_temporal_RAG\data\processed_texts/parsing_report.json
2026-04-13 09:18:46 | INFO     | __main__ | main | ============================================================
2026-04-13 09:18:46 | INFO     | __main__ | main | Phase 2: Production Semantic Chunker
2026-04-13 09:18:46 | INFO     | __main__ | main | ============================================================
2026-04-13 09:18:46 | INFO     | __main__ | main | Found 9 processed documents
2026-04-13 09:18:47 | WARNING  | __main__ | chunk_document | No valid chunks generated for doc_a540bf45
2026-04-13 09:18:47 | INFO     | src.utils | __exit__ | Chunking all documents completed in 1.27s
2026-04-13 09:18:48 | INFO     | __main__ | main | ✅ Created 3108 chunks from 8 documents
2026-04-13 09:18:48 | INFO     | __main__ | main | 📁 Chunks: D:\Graphbased_temporal_RAG\data\chunks\clauses.json
2026-04-13 09:18:48 | INFO     | __main__ | main | 📊 Stats: D:\Graphbased_temporal_RAG\data\chunks\chunking_stats.json
2026-04-13 09:18:48 | INFO     | __main__ | main | 📊 Average chunks per document: 388.5
2026-04-13 09:21:37 | INFO     | __main__ | main | ============================================================
2026-04-13 09:21:37 | INFO     | __main__ | main | Phase 3: Production Entity Extractor
2026-04-13 09:21:37 | INFO     | __main__ | main | ============================================================
2026-04-13 09:21:38 | INFO     | __main__ | main | Loaded 3108 chunks
2026-04-13 09:21:38 | ERROR    | src.utils | safe_json_load | JSON file not found: D:\Graphbased_temporal_RAG\data\extracted\cache\extraction_cache.json
2026-04-13 09:21:38 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:38 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:38 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:39 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:39 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:39 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:40 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:40 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:40 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:40 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:41 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:41 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:41 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:42 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:42 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:42 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:43 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:43 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:43 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:43 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:44 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:44 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:44 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:45 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:45 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:45 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
